itm_item;grp_dscgrp;sgr_dscsgr;itm_descri;itm_marca
0000000256;TEMPEROS E CONDIMENTOS;DIVERSOS;FERMENTO EM PO QUIMICO PCT.12X100G.;ROYAL
0000000573;TEMPEROS E CONDIMENTOS;DIVERSOS;MISTURA DE CONSERVANTES AJI-SAL PCT.01K.;AJI-NO-MOTO
0000001335;;;PAPEL SULFITE PCT.100UND;
0000001295;FRIOS;DIVERSOS;SUSHI SAB. VARIADOS PCT.20UND.;CONSULADO
0000001977;;;FITA PARA MAQUINA DE ESCREVER;
0000001439;MATERIAIS DURAVEIS;DIVERSOS;ESPELHO ;
0000001920;CEREAIS;DIVERSOS;NECTARINA;CEASA
0000002057;MATERIAIS DURAVEIS;DIVERSOS;SOFTWEARE EDUCATIVO;
0000001294;EXPEDIENTE;DIVERSOS;GRAMPEADOR PROFISSIONAL P/100FLS.;
0000000416;TEMPEROS E CONDIMENTOS;DIVERSOS;OREGANO PCT.100G.;BALDARATE
0000001259;MATERIAIS DURAVEIS;DIVERSOS;LIXEIRA DE COPOS DESC. P/CAFE;NEW TURTLE
0000000783;DESCARTAVEIS;DIVERSOS;SACO PLASTICO TRANSP. TAM.40X60CM. ;
0000000258;PRODUTOS DE HIGIENE;DIVERSOS;PAPEL HIGIENICO BRANCO FD.64X30M.;PIMPO
0000001162;MATERIAL DE LIMPEZA;DIVERSOS;DISCO POLIDOR P/ENC. IND. AMARELO 40CM.;BETTANIN
0000001270;PRODUTOS DE LIMPEZA;DIVERSOS;SABAO LIQUIDO NEUTRO BOB.05LT.;TALIMPO
0000000166;DOCES;DIVERSOS;DOCE DE GOIABA CX.12X600G.;PREDILECTA
0000001686;;;COLA EM BASTAO SILICONE FINO 01KG.;
0000000923;MATERIAL DE LIMPEZA;DIVERSOS;LUVA LATEX COR AMARELA TAM. P;SANRO
0000000824;MATERIAIS DURAVEIS;DIVERSOS;DISPENSER PLASTICO BCO. P/PAPEL TOALHA INTERF.;TRILHA
0000000140;DESCARTAVEIS;DIVERSOS;PAPEL HIGIENICO BRANCO FD.64X30M.;FLORAL
0000000073;HORTIFRUTI;DIVERSOS;COCO VERDE;CEASA
0000000796;DOCES;DIVERSOS;DOCE DE LEITE CREMOSO LAT.10KG.;PROVINCIA
0000002024;MATINAIS;DIVERSOS;ADOCANTE EM PO SACHET CX.400X08G.;UNIAO
0000001444;;;CARIMBO EDUCATIVO CX.10UND.;
0000001184;;;FITA P/IMPRESSORA IBM 765 CORRETIVA ;MASTERPRINT
0000000966;;;FITA PAPEL CREPE TAM.19X50MT.;ADERE
0000001967;PRODUTOS DE LIMPEZA;DIVERSOS;DETERGENTE LIQUIDO CX.24X500ML.;IDEAL
0000000469;BEBIDAS;DIVERSOS;SUCO CONCENTRADO DE GOIABA CX.12X500ML.;DAFRUTA
0000002000;FRIOS;DIVERSOS;FIGO SECO;CEASA
0000002059;MATERIAIS DURAVEIS;DIVERSOS;INTERRUPTOR 01 SECAO;DUNAS
0000000356;ENLATADOS;DIVERSOS;PESSEGOS EM CALDA METADES CX.24X450G.;OLE
0000000992;PRODUTOS DE HIGIENE;DIVERSOS;PAPEL TOALHA INTERFOLHA CX.6000FLS.;DALPONT
0000001202;DESCARTAVEIS;DIVERSOS;PRATO DESC. RASO P/REFEICAO PCT.10UND.;ULTRA
0000000780;DESCARTAVEIS;DIVERSOS;SACO PLASTICO TRANSP. TAM.20X40X0,5 PCT.1000UND.;DORIPLAST
0000001703;ENLATADOS;DIVERSOS;CANELA EM PO PCT.12X60G.;LORD
0000000504;PRODUTOS DE LIMPEZA;DIVERSOS;SABAO EM PASTA P/LIMPEZA CX.12X500G.;ATOL
0000000813;TEMPEROS E CONDIMENTOS;DIVERSOS;MAIONESE CX.12X01KG.;ARISCO
0000000441;BEBIDAS;DIVERSOS;SUCO CONCENTRADO DE ABACAXI CX.12X500ML.;CANA
0000000713;DESCARTAVEIS;DIVERSOS;SACO PLASTICO TRANSP. TAM.20X30CM. PCT.1000UND.;DORIPLAST
0000000255;CEREAIS;DIVERSOS;FLOCOS DE MILHO PRE-COZIDO FD.30X500G.;MARATA
0000000038;BEBIDAS;DIVERSOS;REFRESCO EM PO SAB. VARIADO CX.10X500G.;NUTRIMENTAL
0000000230;MATERIAL DE LIMPEZA;DIVERSOS;ESPONJA DE ACO PCT.08UND. 60G.;Q.LUSTRO
0000000203;TEMPEROS E CONDIMENTOS;DIVERSOS;MOLHO DE PIMENTA CX.12X150ML.;RUAH
0000001170;MATINAIS;DIVERSOS;MARGARINA VEG. CREM. 80% LIP. C/SAL CX.24X250G.;QUALY
0000001025;MASSAS E BISCOITOS;DIVERSOS;MACARRAO PENNE INTEGRAL FD.10X500G.;PETYBOM
0000002051;MATERIAIS DURAVEIS;DIVERSOS;MINI GRAVADOR DE VOZ DIGITAL;
0000001348;;;TINTA DECORATIVA SPRAY TUB.300ML.;ACRILEX
0000000700;FRIOS;DIVERSOS;ORELHA SUINA ;EXCELENCIA
0000001284;DOCES;DIVERSOS;RAPADURA NATURAL FD.25X500G;DOCES FINOS
0000002046;MATERIAIS DURAVEIS;DIVERSOS;ROTEADOR WI FI D LINK DIR 600 150MBPS;D LINK
0000000798;DESCARTAVEIS;DIVERSOS;RECIPIENTE TERMICO PCT.100X500ML.;FNS
0000001401;MATERIAIS DURAVEIS;DIVERSOS;JARRA PARA SUCOS CAP.02LT.;
0000000608;MATERIAL DE LIMPEZA;DIVERSOS;ESCOVA PLASTICA P/SANITARIO C/POTE ;FORTLEVES
0000000926;FRIOS;DIVERSOS;MAXIXE ;CEASA
0000000451;PRODUTOS DE LIMPEZA;DIVERSOS;LIMPADOR LIMPEZA PESADA CX.12X500ML.;PRATICE
0000000789;DOCES;DIVERSOS;CASTANHA TORRADA E SALGADA PCT.200G.;BALDARATE
0000000436;MATINAIS;DIVERSOS;OVOS DE GALINHA BCO. BD.30UND.;AVINE
0000001668;MATERIAIS DURAVEIS;DIVERSOS;MESA EM L C/02 GAVETAS E TECLADO RETRATIL;RIVEL
0000002025;;;PAPEL PARANA 80X100 PCT.10FLS.;REALCE
0000000092;DESCARTAVEIS;DIVERSOS;SACO PLASTICO TRANSP. TAM.30X40CM.;
0000001075;PRODUTOS DE LIMPEZA;DIVERSOS;PAPEL TOALHA CX.06X200M.;DALPONT
0000001451;TEMPEROS E CONDIMENTOS;DIVERSOS;AZEITE DE DENDE CX.06X900ML.;MARIZA
0000000184;TEMPEROS E CONDIMENTOS;DIVERSOS;GORDURA P/FOLHEADO PCT.02KG.;GRADINA
0000000249;CEREAIS;DIVERSOS;SAL REFINADO IODADO FD.30X01KG.;SOSAL
0000001007;FRIOS;DIVERSOS;TOMATE LONGA VIDA 1ª QUALIDADE;CEASA
0000000987;ENLATADOS;DIVERSOS;CREME DE LEITE CX.24X300G.;ITAMBE
0000000273;PRODUTOS DE HIGIENE;DIVERSOS;SABONETE EM BARRA INFANTIL PCT.12X90G.;FLORA NENEM
0000000087;FRIOS;DIVERSOS;CARNE BOVINA (PATINHO) CONG.;
0000001550;MATERIAIS DURAVEIS;DIVERSOS;REGISTRO COM MANGUEIRA PARA FOGAO;
0000000991;CEREAIS;DIVERSOS;FEIJAO DE CORDA T-1 FD.30X01KG;NOVIN
0000001796;CEREAIS;DIVERSOS;FARINHA DE TRIGO INTEGRAL FD.10X01KG.;YOKI
0000001600;TEMPEROS E CONDIMENTOS;DIVERSOS;MISTURA P/SOPA DE LEGUMES CX.10X01KG.;FORMA FACIL
0000000576;;;COLA COLORIDA PCT.04X25G.;
0000000114;DOCES;DIVERSOS;DOCE DE BANANA CX.12X600G.;XAVANTE
0000001690;MATINAIS;DIVERSOS;FLOCOS DE CEREAIS EM SACHET CX.12X230G.;NUTRILON
0000000068;BEBIDAS;DIVERSOS;SUCO CONCENTRADO DE ACEROLA CX.12X500ML.;CANA
0000000379;MATERIAL DE LIMPEZA;DIVERSOS;REFIL MOP UMIDO LOOP AZUL;BRALIMPIA
0000001089;MATERIAIS DURAVEIS;DIVERSOS;LIXEIRA COM PEDAL CAP.15LT.;LUMAR
0000000439;HORTIFRUTI;DIVERSOS;ALHO EM CABECA 1ª QUALIDADE CX.10KG.;CEASA
0000000135;MATINAIS;DIVERSOS;NESTOGENO 2 CX.12X400G.;NESTLE
0000001208;MATERIAL DE LIMPEZA;DIVERSOS;LIVRE     ;BETTANIN
0000001903;MATERIAIS DURAVEIS;DIVERSOS;BANDEJA EM INOX;LISA
0000001314;DOCES;DIVERSOS;BALAS SABOR VARIADOS PCT.170G.;BUTTER TOFFER
0000000121;PRODUTOS DE LIMPEZA;DIVERSOS;LIMPA VIDROS CX.12X500ML.;PRATICE
0000000495;PRODUTOS DE LIMPEZA;DIVERSOS;DESINFETANTE LIQUIDO CX.04X05LT.;TALIMPO
0000001945;PRODUTOS DE HIGIENE;DIVERSOS;CONDICIONADOR P/CABELOS INF. CX.12X250ML.;TRA LA LA
0000001572;MASSAS E BISCOITOS;DIVERSOS;CROISSANT MISTO 50G.;W&M
0000002048;MATERIAIS DURAVEIS;DIVERSOS;HEADFONE;CLONE
0000000626;MATERIAIS DURAVEIS;DIVERSOS;CADEIRA PLASTICA C/BRACOS;IBAP
0000000268;MATERIAL DE LIMPEZA;DIVERSOS;SACO PLASTICO P/LIXO HOSP. T/V. PCT.100X50L.;RAVA
0000001070;MATERIAL DE LIMPEZA;DIVERSOS;RODO DE ALUMINIO BORRACHA SIMPLES 70CM;BETTANIN
0000000171;MATERIAL DE LIMPEZA;DIVERSOS;ESCOVA OVAL PARA LIMPEZA EM MADEIRA ;FORTLEVES 
0000001856;;;CADERNO 4X1 FLEXIVEL 10X56FLS.;MAXIMA
0000001255;DESCARTAVEIS;DIVERSOS;PAPEL HIGIENICO FD.04X800M.;DUBBON
0000001969;MATERIAIS DURAVEIS;DIVERSOS;COLHER P/MESA EM INOX;
0000000120;TEMPEROS E CONDIMENTOS;DIVERSOS;AZEITE DE DENDE CX.12X200ML.;MARIZA
0000000275;CEREAIS;DIVERSOS;SAL REF. EM SACHET CX.2000X01G.;SOSAL
0000001742;DESCARTAVEIS;DIVERSOS;BANDEJA PAPELAO LAMINADO RETANGULAR Nº 07;PLAC
0000001885;TEMPEROS E CONDIMENTOS;DIVERSOS;CATCHUP EM SACHET CX.181X08G. ;HELLMANN'S
0000000200;TEMPEROS E CONDIMENTOS;DIVERSOS;ACAFRAO MOIDO PCT.01KG.;PENINA
0000001744;DESCARTAVEIS;DIVERSOS;COLHER DESC. P/SOBREMESA PCT.100UND.;
0000000011;MATERIAL DE LIMPEZA;DIVERSOS;ESCOVA OVAL PLASTICA;FORTLEVES
0000178455;TEMPEROS E CONDIMENTOS;DIVERSOS;ALHO PICADO;IDEAL FOODS
0000000208;DESCARTAVEIS;DIVERSOS;COPO DESCARTAVEL PCT.50X400ML.;ULTRA
0000000351;CEREAIS;DIVERSOS;PAO SIRIO MINI APROX.20G.;W&M
0000000053;MASSAS E BISCOITOS;DIVERSOS;MACARRAO PARA LASANHA CX.20X500G.;BRANDINI
0000002055;MATERIAIS DURAVEIS;DIVERSOS;FERRO ELETRICO P/SOLDA RETO 30W.;HIKARI
0000000751;EXPEDIENTE;DIVERSOS;COLA BRANCA CX.12X90GR.;
0000000851;FRIOS;DIVERSOS;QUIABO;CEASA
0000001499;INFORMATICA;DIVERSOS;ANTIVIRUS PRO 2011;SOFT PANDA
0000001761;HORTIFRUTI;DIVERSOS;CAJU;CEASA
0000001227;;;ETIQUETA 2 CARREIRA 107X36.1 CX.8000UND.;PIMACO 
0000002016;MATERIAIS DURAVEIS;DIVERSOS;TROMBONE DE VARA BM 35M;MICHAEL
0000000790;FRIOS;DIVERSOS;BATATA PALITO PRE FRITA CONG. CX.15X01KG.;MCCAIN
0000001694;MATERIAIS DURAVEIS;DIVERSOS;CABO USB;YBITE
0000001241;PRODUTOS DE LIMPEZA;DIVERSOS;SABAO EM BARRA AZUL CX.20X500G.;ECONOMICO
0000000934;MATINAIS;DIVERSOS;CHOCOLATE EM PO DO FRADE CX.24X200G.;NESTLE
0000000138;FRIOS;DIVERSOS;BUCHO BOVINO LIMPO CONGELADO;FRIGOL
0000001109;EXPEDIENTE;DIVERSOS;COLA GLITER CORES VARIADAS CX.04X25G.;
0000000360;MATINAIS;DIVERSOS;PO P/GELATINA MORANGO CX.15X25G.;
0000000588;HORTIFRUTI;DIVERSOS;FOLHAS DE HORTELA  ;CEASA
0000001940;MATERIAIS DURAVEIS;DIVERSOS;LIQUIDIFICADOR INDUSTRIAL 4LT.;
0000001147;MATERIAIS DURAVEIS;DIVERSOS;RECIPIENTE TERMICO CAP.05LT.;INVICTA
0000001083;FRIOS;DIVERSOS;POLPA DE UVA PCT.10X100G.;POLPA PURA
0000001780;FRIOS;DIVERSOS;MANGA TOMMY 1ª QUALIDADE;CEASA
0000000262;MATERIAL DE LIMPEZA;DIVERSOS;SACO PLASTICO P/LIXO HOSP. T/P. PCT.100X30L.;RAVA
0000002084;EXPEDIENTE;DIVERSOS;LANTEJOULAS PCT.100G.;
0000001998;DOCES;DIVERSOS;CASTANHA CARAMELADA PCT.200G.;BALDARATE
0000001909;;;TECIDO EM POPELINE 50MT.;
0000000523;MATERIAIS DURAVEIS;DIVERSOS;TESOURA C/CABO PLASTICO TAM.21CM.;
0000000586;TEMPEROS E CONDIMENTOS;DIVERSOS;TEMPERO S/PIMENTA CX.24X250G.;DA ROCA
0000001877;DESCARTAVEIS;DIVERSOS;ETIQUETA FCONT 3 CAR 10736 PCT.12.000UND.;PIMACO
0000000572;FRIOS;DIVERSOS;CARNE SUINA (PERNIL) C/TEMPERO CONG.;
0000001908;EXPEDIENTE;DIVERSOS;COLA PARA ISOPOR CX.12X40G.;
0000000487;MATINAIS;DIVERSOS;ADOCANTE EM PO FORNO/FOGAO CX.12X400G.;LAWCUCAR
0000002032;EXPEDIENTE;DIVERSOS;NOTAS PROMISSORIAS C/50FLS.;
0000001904;MATINAIS;DIVERSOS;ALIMENTO BASE DE TRIGO E MILHO MUCILON CX.18X400G.;NESTLE
0000000107;MASSAS E BISCOITOS;DIVERSOS;BISCOITO SALGADO TRAD. CX.36X06X26G.;GOLD CLASS
0000000628;PRODUTOS DE LIMPEZA;DIVERSOS;DESINFETANTE LIQ. CX.12X01LT.;PASSOU LIMPOU
0000000579;PRODUTOS DE LIMPEZA;DIVERSOS;LUSTRA MOVEIS CX.24X500ML.;WORKER
0000001595;MATERIAIS DURAVEIS;DIVERSOS;GARRAFAO TERMICO CAP.05LT.;GUFANI
0000000802;DESCARTAVEIS;DIVERSOS;SACO DE PAPEL P/SALGADO PCT.100UND.;RB
0000002023;DESCARTAVEIS;DIVERSOS;LENCOL DE PAPEL DESC. HOSPITALAR ROL.50X50CM.;PLUMAX
0000000855;MATERIAL DE LIMPEZA;DIVERSOS;PAPEL TOALHA INTERFOLHA CX.2400FLS.;DALPONT
0000000537;MATERIAIS DURAVEIS;DIVERSOS;DISPENSER PAPEL TOALHA KAI KAI;DALPONT
0000000014;HORTIFRUTI;DIVERSOS;COCO SECO;CEASA
0000000592;PRODUTOS DE HIGIENE;DIVERSOS;FRALDAS DESC. GERIATRICA TAM.G PCT.08UND.;GERIAMAX
0000000270;CEREAIS;DIVERSOS;FEIJAO PRETO T-1 FD.30X01KG.;NOVIN
0000001288;MATERIAL DE LIMPEZA;DIVERSOS;RODO PLASTICO BALLENA 126 40CM.;BETTANIN
0000001393;;;PINCEL COMPACTO COLOR PCT.06UND.;
0000000281;MATINAIS;DIVERSOS;AMIDO DE MILHO C/FARINHA DE ARROZ CX.50X200G.;ARROZINA
0000001488;;;PASTA COLECIONADOR DE PLASTICO;
0000001179;TEMPEROS E CONDIMENTOS;DIVERSOS;CURRY PCT.01K.;BALDARATE
0000001189;MATINAIS;DIVERSOS;LEITE S/LACTOSE CX.12X300G.;SOYMIX
0000001900;ENLATADOS;DIVERSOS;CATCHUP NAO PICANTE CX.24X200G.;
0000000754;BEBIDAS;DIVERSOS;SUCO CONCENTRADO DE MARACUJA CX.12X500ML;CANA
0000001403;MATERIAIS DURAVEIS;DIVERSOS;LAMPADA FLUORESCENTE 40W.;
0000002092;MATERIAIS DURAVEIS;DIVERSOS;BANHEIRA INFANTIL;IBAP
0000002047;MATERIAIS DURAVEIS;DIVERSOS;SCANNER DE MESA HP G2710;HP
0000000493;PRODUTOS DE HIGIENE;DIVERSOS;FRALDAS DESC. GERIATRICA TAM.M PCT.08UND.;NATURAL MASTER
0000000153;ENLATADOS;DIVERSOS;ERVILHAS EM CONSERVA CX.24X200G.;BONARE
0000000381;DESCARTAVEIS;DIVERSOS;COPO DESC. P/CAFE PCT.100X50ML.;BELPLAST
0000000830;DESCARTAVEIS;DIVERSOS;LUVA LATEX P/PROCEDIMENTO CX.100UND.;EMBRAMAC
0000001230;MATERIAIS DURAVEIS;DIVERSOS;CHALEIRA EM ALUMINIO CAP.04LT.;
0000000480;TEMPEROS E CONDIMENTOS;DIVERSOS;MOLHO DE SOJA CX.12X900ML.;MARIZA
0000001675;EXPEDIENTE;DIVERSOS;ADESIVO TOQUE MAGICO PCT.25MT.;HELIOS
0000000637;MATERIAL DE LIMPEZA;DIVERSOS;PRENDEDOR P/ROUPAS EM MADEIRA PCT.12UND.;GABOARDI
0000001892;MATERIAIS DURAVEIS;DIVERSOS;PANELA;
0000002079;MATERIAIS DURAVEIS;DIVERSOS;ESCALA METRICA 2MT;
0000000460;PRODUTOS DE LIMPEZA;DIVERSOS;SABAO EM PASTA P/LIMPEZA CX.24X200G.;ATOL
0000000353;MATINAIS;DIVERSOS;ADOCANTE SACHET EM PO CX.1000X0,08G.;GOLD
0000000811;DOCES;DIVERSOS;CEREAIS EM BARRA LIGHT SAB. VARIADO CX.24X25G.;NESTON
0000000531;HORTIFRUTI;DIVERSOS;COENTRO ;CEASA
0000001190;DESCARTAVEIS;DIVERSOS;TAMPA PLASTICA S/FURO P/REC. TERM. PCT.100X300ML.;DART
0000001278;MATINAIS;DIVERSOS;PO P/GELATINA MORANGO/UVA/LIMAO DIET CX.36X10G.;LOWCUCAR
0000001615;;;FORMULARIO RECIBO 02 VIAS CX.2000UND.;PROPEL
0000001999;EXPEDIENTE;DIVERSOS;MOLHA DEDO PCT.03X12G.;DEDEX
0000000415;MATINAIS;DIVERSOS;MARGARINA VEG. CREM. 80% LIP. C/SAL CX.12X500G.;QUALY
0000000201;PRODUTOS DE LIMPEZA;DIVERSOS;OLEO LUSTRADOR CX.24X200ML.;PEROBA
0000001461;MATERIAIS DURAVEIS;DIVERSOS;ORGAO PSR - E 223;YAMAHA
0000001110;MATINAIS;DIVERSOS;CHA SACHET DE ERVA MATE CX.24X18G.;MARATA
0000001685;;;TINTA PARA PINCEL ATOMICO 40ML.;RADEX
0000001557;FRIOS;DIVERSOS;BIFE DE PEITO DE PERU CONG. CX.10KG.;SADIA
0000001577;PERMANENTE;DIVERSOS;CADEIRA TIPO SECRETARIA ;MUNDIAL
0000001425;PRODUTOS DE LIMPEZA;DIVERSOS;SABAO LIQUIDO NEUTRO CX.20X500ML.;TALIMPO
0000000265;MATERIAL DE LIMPEZA;DIVERSOS;SACO PLASTICO P/LIXO HOSP. T/P. PCT.100X.50L.;RAVA
0000000600;MATERIAL DE LIMPEZA;DIVERSOS;BALDE PLASTICO COM TAMPA CAP.100LT.;IBAP
0000001702;MATERIAL DE LIMPEZA;DIVERSOS;VASSOURA DE PELO PLASTICA 40CM. C/CABO EM MADEIRA;FORTLEVES
0000001718;MATERIAIS DURAVEIS;DIVERSOS;EVAP 18000 BTUS YORK HLEA18;
0000001786;TEMPEROS E CONDIMENTOS;DIVERSOS;ERVAS FINAS DESIDRATADAS 01KG.;BALDARATE
0000000178;DESCARTAVEIS;DIVERSOS;INVOLUCRO DE PVC TRANSPARENTE ROL.300M.;ARO
0000001625;MATINAIS;DIVERSOS;SUPLEMENTO ALIM. NUTRIDRINK MULTI FABER 200ML.;SUPORTE
0000000056;TEMPEROS E CONDIMENTOS;DIVERSOS;CANELA EM PO FD.12X25G.;MARIZA
0000001597;ENLATADOS;DIVERSOS;SELETA DE LEGUMES BAL.05KG.;
0000002034;MATERIAIS DURAVEIS;DIVERSOS;PLAYGROUND EM MADEIRA;
0000001630;ENLATADOS;DIVERSOS;SARDINHA AO OLEO CX.48X250G.;COQUEIRO
0000019992;;;TINTA PARA TECIDO CORES VARIADAS CX.12X37ML.;ACRILEX
0000001726;MASSAS E BISCOITOS;DIVERSOS;BISCOITO RECHEADO VARIADOS CX.30X120G.;PELAGGIO
0000000279;;;CARTOLINA DUPLA FACE CORES VARIADAS PCT.100UND.;
0000000880;TEMPEROS E CONDIMENTOS;DIVERSOS;COCO RALADO CX.06X50G.;MENINA
0000001203;;;FITA P/IMPRESSORA DE CHEQUES;
0000001460;MATERIAIS DURAVEIS;DIVERSOS;GUITARRA MKZ - E 10W;EXT
0000001719;CEREAIS;DIVERSOS;MISTURA P/VITAMINA DE FRUTAS CX.10X01KG.;FORMA FACIL
0000000861;BEBIDAS;DIVERSOS;AGUA MINERAL S/GAS GAR.20L.;DULCINAGUA
0000000589;PRODUTOS DE LIMPEZA;DIVERSOS;HIGIENIZADOR SANIT. LIQ. C/APAR. CX.12X55ML.;HARPIC
0000000149;DESCARTAVEIS;DIVERSOS;COPO DESCARTAVEL PCT.100X250ML.;BONOPLAST
0000000444;EXPEDIENTE;DIVERSOS;CADERNO BROCHURA 48FLS.;
0000001995;MATINAIS;DIVERSOS;SUPLEMENTO ALIM. ESTIMULANTE MF6 LAT.350G.;SUPORTE
0000000887;DOCES;DIVERSOS;CHOCOLATE EM PASTA MEIO AMARGO SAC.03KG.;NESTLE
0000001239;PRODUTOS DE HIGIENE;DIVERSOS;DESODORANTE SPRAY CX.12X90ML;SENADOR
0000001562;MATERIAIS DURAVEIS;DIVERSOS;ESPATULA ;
0000000285;MATERIAL DE LIMPEZA;DIVERSOS;RODO PLASTICO 30CM C/CABO REVESTIDO ;FORTLEVES 
0000001468;MATERIAIS DURAVEIS;DIVERSOS;MESA 08C MXS - 8 III;WATTSOM
0000000804;PRODUTOS DE LIMPEZA;DIVERSOS;SABAO EM BARRA CX.50X200G.;ECONOMICO
0000001865;;;PINCEL ESCOLAR Nº 10;CONDOR
0000001987;;;KIT PARA COSTURA DE MAO COMPLETO;
0000001638;MATERIAIS DURAVEIS;DIVERSOS;UDP GN NAXOS-I86L (PDC3.0,2G,500G,DVD;
0000000251;PRODUTOS DE LIMPEZA;DIVERSOS;DESINFETANTE LIQUIDO CX.12X01LT.;ECONOMICO
0000001213;DESCARTAVEIS;DIVERSOS;COPO DESC. TRANSPARENTE PCT.100X110ML.;ULTRA
0000000969;FRIOS;DIVERSOS;RUCULA;CEASA
0000001292;MATERIAL DE LIMPEZA;DIVERSOS;LIMPA VIDROS SQUEEZE CX.24X500ML.;VIDREX
0000002037;MATERIAIS DURAVEIS;DIVERSOS;SAPATO SOCIAL COR PRETO;
0000000081;MATINAIS;DIVERSOS;CAFE MOIDO A VACUO PURO SELO ABIC CX.10X500G.;KIMIMO
0000000483;DESCARTAVEIS;DIVERSOS;COPO DESC. P/CAFE PCT.100X50ML.;BONOPLAST
0000001417;FRIOS;DIVERSOS;ROMA;CEASA
0000001304;;;PASTA EM PAPELAO C/ELASTICO ;
0000002004;FRIOS;DIVERSOS;CARNE SUINA (PERNIL) FATIADO CONG.;
0000001558;TEMPEROS E CONDIMENTOS;DIVERSOS;EXTRATO DE ALHO CX.12X300ML.;REGINA
0000000110;ENLATADOS;DIVERSOS;COGUMELOS EM CONSERVA BAL.02KG.;GUT'S
0000001100;;;DISQUETE CX.10UND.;
0000001447;FRIOS;DIVERSOS;MANGA ITAMARACA 1ª QUALIDADE;CEASA
0000000461;MATERIAIS DURAVEIS;DIVERSOS;PILHA ELETRICA PEQUENA AA;RAYOVAC
0000001350;;;TINTA PARA TECIDO TUB.250ML.;ACRILEX
0000000148;MATERIAIS DURAVEIS;DIVERSOS;TELA DE AMIANTO;
0000000423;DESCARTAVEIS;DIVERSOS;AVENTAL PLASTICO DESC. TAM.1,40X0,80CM.;LUSTRA MIL
0000000565;EXPEDIENTE;DIVERSOS;GRAMPO GALVANIZADO 26/6 CX.5.000UND.;
0000000301;TEMPEROS E CONDIMENTOS;DIVERSOS;MOLHO DE PIMENTA CX.12X300ML.;REGINA
0000000363;DESCARTAVEIS;DIVERSOS;TOUCA EM TNT BCA. SANFONADA PCT.100UND.;LAGROTTA
0000001042;MATERIAL DE LIMPEZA;DIVERSOS;BALDE PLASTICO CAP.08LT.;IBAP
0000001663;MATERIAIS DURAVEIS;DIVERSOS;CD DE FILMES PARA DVD VARIADOS;DVD VIDEO
0000001448;CEREAIS;DIVERSOS;FARINHA DE MANDIOCA AMARELA FD.30X01KG.;NOVIN
0000001925;;;TINTA SINTETICA P/SERIGRAFIA CORES VARIADAS 01LT.;LUMAR
0000001199;TEMPEROS E CONDIMENTOS;DIVERSOS;POLVILHO AZEDO PCT.01K.;ARO
0000001559;TEMPEROS E CONDIMENTOS;DIVERSOS;MOLHO DE TOMATE EM SACHET CX.24X340G.;TAMBAU
0000001256;EXPEDIENTE;DIVERSOS;SORO FISIOLOGICO 500ML.;
0000001311;FRIOS;DIVERSOS;POLPA DE CAJU PCT.10X100G.;POLPA PURA
0000000693;FRIOS;DIVERSOS;FRANGO INTEIRO (CARCACA) CONG. CX.18KG.;
0000001966;;;REFIL DE TONNER P/ IMPRESSORA;
0000001111;MATERIAL DE LIMPEZA;DIVERSOS;PANO PARA LIMPEZA VERDE ROL.300M.;FIORELLA
0000000979;MATERIAL DE LIMPEZA;DIVERSOS;RASPADOR MULTI USO;BRALIMPIA
0000000499;PRODUTOS DE LIMPEZA;DIVERSOS;DETERGENTE PINHO GEL CX.04X05LT.;TALIMPO
0000000631;BEBIDAS;DIVERSOS;REFRIGERANTE DE COLA CX.12X350ML.;COCA COLA
0000001440;MATINAIS;DIVERSOS;FARINHA LACTEA EM SACHET FD.50X200G.;SUPERLACTEA
0000000770;MASSAS E BISCOITOS;DIVERSOS;PAO DE FORMA INTEGRAL PCT.500G.;W&M
0000001242;HORTIFRUTI;DIVERSOS;ABACATE GRANDE 1ª QUALIDADE;CEASA 
0000001198;DESCARTAVEIS;DIVERSOS;GUARDANAPO DE PAPEL TAM.22X18CM.;GIRASSOL
0000000912;TEMPEROS E CONDIMENTOS;DIVERSOS;CRAVO DA INDIA PCT.200G.;BALDARATE
0000000226;MATINAIS;DIVERSOS;PO P/PUDIM DIET SABORES VARIADOS CX.24X25G.;LOWCUCAR
0000001069;MATERIAL DE LIMPEZA;DIVERSOS;RODO DE ALUMINIO BORRACHA DUPLA 9058 70CM.;BETTANIN
0000001441;EXPEDIENTE;DIVERSOS;ALFINETES CX.50UND.;
0000001117;MATERIAL DE LIMPEZA;DIVERSOS;BALDE PLASTICO REFORCADO CAP.10L.;IGUAL
0000001489;MATERIAIS DURAVEIS;DIVERSOS;PARAFUSOS;
0000001866;;;PINCEL REDONDO Nº 08;CONDOR
0000000748;HORTIFRUTI;DIVERSOS;CEBOLA PERA 1ª QUALIDADE;CEASA
0000000878;MATERIAL DE LIMPEZA;DIVERSOS;BACIA PLASTICA Nº 01;MERCONPLAS
0000002081;MATERIAIS DURAVEIS;DIVERSOS;PROTETOR AUDITIVO EM SILICONE;
0000000501;PRODUTOS DE LIMPEZA;DIVERSOS;DESINFETANTE PINHO GEL CX.04X05L.;TALIMPO
0000001487;;;MALETA;
0000001088;BEBIDAS;DIVERSOS;REFRIGERANTE DE GUARANA CX.12X350ML.;KUAT
0000000243;MATINAIS;DIVERSOS;SOYMILKE SEM ACUCAR CX.12X250G.;OLVEBRA
